front;back;tags;section
Mis kooki?;What cake?;;6
pirukas, piruka, pirukat;pie;;6
porgand, porgandi, porgandit;carrot;;6
porgandi/pirukas, porgandi/piruka, porgandi/pirukat;carrot pie;;6
soolane, soolase, soolast;savoury, salty;;6
Sul on kõht tühi.;You are hungry.;;6
šokolaadi/kook, šokolaadi/koogi,šokolaadi/kooki;chocolate cake;;6
tühi, tühja, tühja;empty;;6
õuna/kook, õuna/koogi,õuna/kooki;apple cake;;6
hoopis;instead, quite;;6
isegi;even;;6
juubel, juubeli, juubelit;anniversary, jubilee;;6
kaaluma, kaalu/da, kaalu/n;to weigh;;6
Kas täis/kasvanule või lapsele?;For an adult or for a child?;;6
kringel, kringli, kringlit;sweet-bread;;6
Kui palju see maksab?;How much does this cost?;;6
Kui palju?;How much?;;6
odav, odava, odavat;cheap;;6
odavam;cheaper;;6
Olgu pealegi!;Alright!;;6
selline, sellise, sellist;this kind;;6
sobima, sobi/da, sobi/n;to suit, to fit;;6
sünni/päeva/tort, sünni/päeva/tordi,sünni/päeva/torti;birthday cake;;6
tort, tordi, torti;festive cake;;6
täis/kasvanu, täis/kasvanu, täis/kasvanut;adult;;6
Võib-olla sobiks selline?;How about this one? (lit Maybe this one would suit?);;6
värske, värske, värsket;fresh , freshly baked;;6
värskem kui;fresher than;;6
ämma juubelile;to mother-in-law's anniversary;;6
hiljem;later;;6
jube kiire;terribly busy;;6
kodus;at home;;6
koju tulema, koju tul/la, tule/n koju;to come home;;6
külaline, külalise, külalist;visitor, guest;;6
läheme restorani;we go to a restaurant;;6
Näeme hiljem!;See you later!;;6
pärast;later, afterwards;;6
trenn, trenni, trenni;workout;;6
tööl olema, tööl ol/la, ole/n tööl;to be at work;;6
hulluks minema, hulluks min/na, lähe/n hulluks;to go mad;;6
Hulluks oled läinud või?;Have you gone mad or what?;;6
kassi/näitus, kassi/näituse, kassi/näitust;cat show;;6
kassi/näitusele;to a cat show;;6
Lähme siis pealegi suvilasse.;Let's go to the summer-house then.;;6
Mis asja?;What?;;6
nagu tavaliselt;as usual;;6
nädala/vahetus , nädala/vahetuse, nädala/vahetust;weekend;;6
nädala/vahetusel;during the weekend;;6
Olgu-olgu.;OK-OK.;;6
See oli nali.;Just joking(lit This was a joke.);;6
suvila, suvila, suvilat;summer-house;;6
suvilasse;to the summer-house;;6
tavaliselt;usually;;6
öö/klubi, öö/klubi, öö/klubi;night-club;;6
Hurraa!;Hurrah!;;6
laste/aed, laste/aia, laste/aeda;kindergarten;;6
laste/aeda minema, laste/aeda min/na, lähe/n laste/aeda;to go to the kindergarten;;6
looma/aed, looma/aia, looma/aeda;zoo;;6
looma/aeda minema, looma/aeda min/na, lähe/n looma/aeda;to go to the zoo;;6
lähme vee/keskusesse;we go to the water park;;6
Miks?;Why?;;6
rong, rongi, rongi;train;;6
rongiga sõitma;to travel by train;;6
sinuga;with you (sing);;6
sõidame rongiga;we travel by train;;6
sõitma, sõit/a, sõida/n;to travel, to go, to ride;;6
vee/keskus, vee/keskuse, vee/keskust;water park;;6
aja/leht, aja/lehe, aja/lehte;newspaper;;6
aja/lehte lugema, aja/lehte luge/da,loe/n ajalehte;to read a newspaper;;6
alles;only, still, just;;6
duši all käima, duši all käi/a, käi/n duši all;to have a shower, to take a shower;;6
dušš, duši, dušši;shower;;6
e-kiri, e-kirja, e-kirja;email;;6
e-kirju kirjutama, e-kirju kirjuta/ma, kirjuta/n e-kirju;to write emails;;6
hambaid pesema, hambaid pes/ta, pese/n hambaid;to brush one's teeth;;6
hammas, hamba, hammast;tooth;;6
intervjueerija, intervjueerija, intervjueerijat;interviewer;;6
juuksurisse;to the hairdresser;;6
kaua;for a long time;;6
kell kaksteist;at twelve o'clock;;6
kirjutama, kirjuta/da, kirjuta/n;to write;;6
kolm tassi kohvi;three cups of coffee;;6
koristama, korista/da, korista/n;to tidy;;6
kui aega on;if there's time;;6
käima, käi/a, käi/n;to go, to visit;;6
lugema, luge/da, loe/n;to read;;6
lõunat sööma, lõunat süü/a, söö/n lõunat;to have lunch;;6
magama, maga/da, maga/n;to sleep;;6
magama minema, magama min/na, lähe/n magama;to go to sleep;;6
muusik, muusiku, muusikut;musician;;6
mõni/kord;sometimes;;6
pesema, pes/ta, pese/n;to wash, to clean, to brush;;6
poes käima, poes käi/a, käi/n poes;to go shopping;;6
pood, poe, poodi;shop;;6
pop/staar, pop/staari, pop/staari;pop-star;;6
raadio , raadio, raadiot;radio;;6
raadiot kuulama, raadiot kuula/ta, kuula/n raadiot;to listen to the radio;;6
solaarium , solaariumi, solaariumi;solarium;;6
solaariumis käima, solaariumis käi/a, käi/n solaariumis;to go to the solarium;;6
takso, takso, taksot;taxi;;6
taksoga;by taxi;;6
tavaline, tavalise, tavalist;typical, ordinary, usual;;6
telefoniga rääkima, telefoniga rääki/da,räägi/n telefoniga;to speak on the phone;;6
tööle minema, tööle min/na, lähe/n tööle;to go to work;;6
umbes;about, around, approximately;;6
vann, vanni, vanni;bath;;6
vannis;in the bath;;6
vannis käima, vannis käi/a, käi/n vannis;to have a bath, to take a bath;;6
ärkama, ärga/ta, ärka/n;to wake up;;6
öösel;at night;;6
öösiti;at nights;;6
üle/päeviti;every other day;;6
üles tõusma, üles tõus/ta, tõuse/n üles;to get up;;6
aeg, aja, aega;time;;6
esmas/päeval;on Monday;;6
jooksma , joos/ta, jookse/n;to jog, to run;;6
jooksmas käima, jooksmas käi/a, käi/n jooksmas;to go jogging;;6
Kahju!;What a shame!;;6
Kas sul oleks aega?;Would you have time?;;6
kolma/päeval;on Wednesday;;6
Madis, Madise, Madist;Madis (male name);;6
mõnel õhtul;some evening;;6
nelja/päeval;on Thursday;;6
rattaga sõitma, rattaga sõit/a, sõida/n rattaga;to cycle;;6
reedeti;on Fridays;;6
sel nädalal;this week;;6
teisi/päeval;on Tuesday;;6
algama, ala/ta, alga/b;to start, to begin;;6
arvatavasti;probably;;6
helistan uuesti;I will call again;;6
imelik, imeliku, imelikku;strange, weird;;6
koos/olek , koos/oleku, koos/olekut;meeting;;6
koos/olekul;in a meeting;;6
lõppema, lõppe/da, lõpe/b (lõppe/b);to finish, to end;;6
nõu/pidamine, nõu/pidamise, nõu/pidamist;meeting;;6
paluma, palu/da, palu/n;to ask for, to ask, to beg;;6
teisi/päeviti;on Tuesdays;;6
uuesti;again;;6
vastu/võtu/aeg, vastu/võtu/aja,vastu/võtu/aega;open day (lit reception time);;6
Ivi, Ivi, Ivit;Ivi (female name);;6
Kas oled valmis?;Are you ready?;;6
Kohe-kohe.;Soon-soon.;;6
Lähme!;Let's go!;;6
Ma teen selle valmis.;I'll finish this.;;6
oota palun;please wait;;6
sööma minema, sööma min/na, lähe/n sööma;to go to eat, to go to get some food;;6
valmis olema, valmis ol/la, ole/n valmis;to be ready;;6
valmis tegema, valmis teh/a, tee/n valmis;to finish, to complete something;;6
esmas/päeviti;on Mondays;;6
iga , iga, iga;every;;6
iga nädal;every week;;6
ime , ime, imet;miracle;;6
jõu/saal , jõu/saali, jõu/saali;gym;;6
jõu/saalis käima, jõu/saalis käi/a, käi/n jõu/saalis;to go to the gym;;6
keele/kursus , keele/kursuse, keele/kursust;language course;;6
keele/kursusel käima, keele/kursusel käi/a, käi/n keele/kursusel;to take a language course;;6
kinno;to the cinema;;6
kolma/päeviti;on Wednesdays;;6
kontserdile;to the concert;;6
kontsert, kontserdi, kontserti;concert;;6
pikk, pika, pikka;long;;6
Pole ka ime!;I'm not surprised! (lit It's not a miracle!);;6
töö/päev, töö/päeva, töö/päeva;working day;;6
ujuma , uju/da, uju/n;to swim;;6
ujumas käima, ujumas käi/a, käi/n ujumas;to go swimming;;6
väsinud;tired;;6
Õudne!;How awful!;;6
Ära mine tööle!;Take a day off! (lit Don't go to work!);;6
Aleksei, Aleksei, Alekseid;Aleksei (male name);;7
arvutiga mängima, arvutiga mängi/da, mängi/n arvutiga;to play on the computer;;7
jalutama, jaluta/da, jaluta/n;to walk, to take walks;;7
Jana, Jana, Janat;Jana (female name);;7
joonistama, joonista/da, joonista/n;to draw;;7
Katerina, Katerina, Katerinat;Katerina (female name);;7
Katja, Katja, Katjat;Katja (female name);;7
korv/pall , korv/palli, korv/palli;basketball;;7
korv/palli mängima, korv/palli mängi/da, mängi/n korvpalli;to play basketball;;7
laulma, laul/da, laula/n;to sing;;7
Liidia, Liidia, Liidiat;Liidia (female name);;7
meeldima, meeldi/da, meeldi/b;to like;;7
mulle meeldib;I like;;7
muusikat kuulama, muusikat kuula/ta, kuula/n muusikat;to listen to music;;7
palju sõnu;lots of words;;7
Sergei, Sergei, Sergeid;Sergei (male name);;7
Serjoža, Serjoža, Serjožat;Serjoža (male name);;7
süüa tege/ma, süüa teh/a, tee/n süüa;to cook food;;7
Tamara, Tamara, Tamarat;Tamara (female name);;7
televiisor , televiisori, televiisorit;TV;;7
televiisorit vaatama, televiisorit vaada/ta,vaata/n televiisorit;to watch TV;;7
öelge;say, tell (plural imperative);;7
ütlema, ütel/da (öel/da), ütle/n;to say;;7
ekskursioon , ekskursiooni, ekskursiooni;excursion;;7
jalg/rattaga sõitma, jalg/rattaga sõit/a,sõida/n jalg/rattaga;to ride a bicycle;;7
koos teiega;with you (plural);;7
maalima, maali/da, maali/n;to paint;;7
matkama, matka/ta, matka/n;to hike;;7
Matkata ma küll ei viitsi.;I really can't be bothered to hike.;;7
me läheme;we go;;7
minema, min/na, lähe/n;to go;;7
Mul on ükskõik;For me it's all the sameI don't really careDoesn't matter;;7
mulle küll ei meeldi;I really don't like;;7
mulle meeldiks;I would like to;;7
muuseum , muuseumi, muuseumi;museum;;7
muuseumis käima, muuseumis käi/a, käi/n muuseumis;to go to museums;;7
nojaa;well, ok;;7
otsustama, otsusta/da, otsusta/n;to decide;;7
pildistama, pildista/da, pildista/n;to take photos;;7
puhkama, puha/ta, puhka/n;to rest;;7
päevitama, päevita/da, päevita/n;to sunbathe;;7
raamatut lugema, raamatut luge/da, loe/n raamatut;to read a book;;7
rand, ranna, randa;beach;;7
rannas;on the beach;;7
ratas, ratta, ratast;bike, bicycle, wheel;;7
saame otsustada;we can decide;;7
sellel ekskursioonil;on this excursion;;7
teha meeldiks;would like to do;;7
viitsima, viitsi/da, viitsi/n;to be bothered;;7
üldse;at all, ever, after all;;7
üsna;quite;;7
ilusasti;nicely;;7
klaver , klaveri, klaverit;piano;;7
klaverit mängima, klaverit mängi/da, mängi/n klaverit;to play piano;;7
luuletus , luuletuse, luuletust;poem;;7
luuletusi kirjutama, luuletusi kirjuta/da, kirjuta/n luuletusi;to write poetry;;7
Meeli, Meeli, Meelit;Meeli (female name);;7
poole/aastane, poole/aastase, poole/aastast;half a year old;;7
tantsima, tantsi/da, tantsi/n;to dance;;7
üle kõige;most of all;;7
Kust mina tean?;How would I know?;;7
küsima, küsi/da, küsi/n;to ask;;7
Ma tõesti ei tea.;I really don't know.;;7
Oskar, Oskari, Oskarit;Oskar (male name);;7
restorani minna;to go to a restaurant;;7
rull/uisk, rull/uisu, rull/uisku;rollerskate;;7
rull/uiskudega sõitma, rull/uiskudega sõit/a, sõida/n rull/uiskudega;to rollerskate;;7
võib-olla ta tahaks;maybe she/he would like;;7
autot remontima, autot remonti/da,remondi/n autot;to fix the car;;7
jube kahju;What a pity!;;7
Koristada võid homme.;You can tidy up tomorrow.;;7
Ma pean koristama.;I must tidy up.;;7
remontima, remonti/da, remondi/n;to fix, to repair;;7
Ähh!;Ehh!;;7
hakkama, haka/ta, hakka/n;to start, to begin;;7
hakkan süüa tegema;I will cook food;;7
nõusid pesema, nõusid pes/ta, pese/n nõusid;to wash dishes;;7
pean töötama;I must work;;7
tita, tita, titat;baby;;7
ehitama, ehita/da, ehita/n;to build;;7
Head uut aastat!;Happy New Year!;;7
Issand!;Oh my God!;;7
Kas tõesti?;Really?;;7
Ma armastan sind.;I love you.;;7
maja ehitama, maja ehita/da, ehita/n maja;to build a house;;7
nii/kui/nii;anyway;;7
oi-oi;oi-oi;;7
reisima, reisi/da, reisi/n;to travel;;7
Sa ei pea midagi tegema.;You don't need to do anything.;;7
sel aastal;this year;;7
sest;because;;7
vähem;less;;7
õlut jooma, õlut juu/a, joo/n õlut;to drink beer;;7
Ei midagi erilist.;Nothing special.;;7
inimene, inimese, inimest;person, human being, man;;7
inimestega suhtlema, inimestega suhel/da,suhtle/n inimestega;to communicate with people;;7
Ja mida veel?;And what else?;;7
keetma, keet/a, keeda/n;to boil;;7
kohvi keetma, kohvi keet/a, keeda/n kohvi;to prepare coffee;;7
Mida sa tegema pead?;What do you have to do?;;7
suhtlema, suhel/da, suhtle/n;to communicate;;7
telefon , telefoni, telefoni;phone;;7
Üldiselt küll, jah.;In general, yes.;;7
aja/kiri, aja/kirja, aja/kirja;magazine;;7
eesti keeles;in Estonian language;;7
eesti/keelne, eesti/keelse, eesti/keelset;in Estonian language;;7
harjutus, harjutuse, harjutust;exercise, task;;7
hääl, hääle, häält;voice;;7
idee, idee, ideed;idea;;7
iga päev;every day;;7
internet, interneti, internetti;internet;;7
internetis;on the internet;;7
julgelt;boldly;;7
kartma, kart/a, karda/n;to be afraid;;7
kirjutage;write (plural imperative);;7
korraga;at a time, at once, altogether;;7
kui võimalik;if possible;;7
kuidas te saaksite;how you could;;7
kuulake;listen (plural imperative);;7
laul , laulu, laulu;song;;7
lugege;read (plural imperative);;7
Mida veel võiks teha?;What else could be done?;;7
Mis te arvate?;What do you think?;;7
multi/film, multi/filmi, multi/filmi;cartoon;;7
pange seinale;put on the wall (plural imperative);;7
poes;in the shop;;7
pool tundi;half an hour;;7
rohkem kui;more than;;7
rääkige;speak (plural imperative);;7
sedel , sedeli, sedelit;piece of paper, label;;7
sedelitele;on pieces of paper;;7
sein, seina, seina;wall;;7
soovitus, soovituse, soovitust;suggestion;;7
suhelge;communicate (plural imperative);;7
tekst, teksti, teksti;text;;7
vaadake;look, watch (plural imperative);;7
valju;loud;;7
valju häälega;aloud;;7
viga, vea, viga;mistake, error;;7
vigu tegema, vigu teh/a, teen vigu;to make mistakes;;7
vihik , vihiku, vihikut;exercise book;;7
viis uut sõna;five new words;;7
võimalik;possible;;7
õppige;study (plural imperative);;7
ärge kartke;don't be afraid;;7
aitama, aida/ta, aita/n;to help;;7
kaasa tulema, kaasa tul/la, tule/n kaasa;to go with;;7
Kadri, Kadri, Kadrit;Kadri (female name);;7
kartuli/salat, kartuli/salati, kartuli/salatit;potato salad;;7
kogu aeg;all the time;;7
kui teil on;if you have;;7
kõik koos;together;;7
mingi mure;some kind of problem;;7
multikas, multika, multikat;cartoon (slang);;7
mure, mure, muret;problem, worry;;7
Nii kaua!;For so long!;;7
Olge siis head lapsed!;Be good (children)!;;7
praadige;fry (plural imperative);;7
praadima, praadi/da, prae/n;to fry;;7
töö/reis, töö/reisi, töö/reisi;business trip;;7
õu, õue, õue;yard, outside;;7
alustama, alusta/da, alusta/n;to start, to begin;;7
hilinema, hiline/da, hiline/n;to be late;;7
hingake rahulikult;breathe slowly (plural imperative);;7
hingama, hinga/ta, hinga/n;to breathe slowly;;7
istuge sinna;sit there (plural imperative);;7
jooga , jooga, joogat;yoga;;7
jooga/õpetaja, jooga/õpetaja, jooga/õpetajat;yoga teacher;;7
kinni panema, kinni pan/na, pane/n kinni;to close;;7
naeratage;smile (plural imperative);;7
naeratama, naerata/da, naerata/n;to smile;;7
otse;straight;;7
pange silmad kinni;close your eyes (plural imperative);;7
paremale;to the right;;7
rahulikult;slowly, peacefully;;7
silm, silma, silma;eye;;7
unustage oma mured;forget your problems (plural imperative);;7
unustama, unusta/da, unusta/n;to forget;;7
vaadake otse;look straight (plural imperative);;7
vaadake paremale;look to the right (plural imperative);;7
vaadake vasakule;look to the left (plural imperative);;7
Vabandage, et ma hilinesin!;Sorry, I'm late!;;7
vasakule;to the left;;7
kümnest;from ten;;8
lahti;open;;8
lau/päeviti;on Saturdays;;8
meeste joped;men's jackets;;8
neljani;till four;;8
spordi/pood, spordi/poe, spordi/poodi;sportswear shop;;8
suve/riided, suve/riiete, suve/riideid;summer clothes;;8
õhuke(ne), õhukese, õhukest;thin;;8
juures;by, near, close to, at;;8
kleit, kleidi, kleiti;dress;;8
pidulik, piduliku, pidulikku;formal, festive;;8
proovi/kabiin, proovi/kabiini, proovi/kabiini;fitting room;;8
seal/pool;over there;;8
soe, sooja, sooja;warm;;8
välja/pääs, välja/pääsu, välja/pääsu;exit;;8
avatud;open;;8
kaheksani;till eight;;8
korrus, korruse, korrust;floor, storey;;8
Kuidas ma saan sinna?;How do I get there?;;8
lift, lifti, lifti;elevator;;8
lähen liftiga;I'll take the elevator;;8
meeste/riiete poed;men's clothes shops;;8
minge trepist;go up the stairs;;8
Mis kellani?;Until what time?;;8
sinna;there;;8
sisse/käik, sisse/käigu,sisse/käiku;entrance;;8
trepp, trepi, treppi;stairs;;8
vasakul pool;on the left;;8
Kas ma saan teid aidata?;Can I help you?;;8
kassa, kassa, kassat;till, pay-office;;8
lähme kassasse;let's go to the till;;8
Mis värvi?;What colour?;;8
müts, mütsi, mütsi;hat;;8
proovima, proovi/da, proovi/n;to try;;8
talve/jope, talve/jope, talve/jopet;winter jacket;;8
täpiline, täpilise, täpilist;spotted, spotty;;8
värviline, värvilise, värvilist;colourful;;8
enam-vähem;more or less;;8
iga/päevane, iga/päevase, iga/päevast;for everyday use;;8
kandma, kand/a, kanna/n;to wear;;8
kergesti;easily;;8
kostüüm, kostüümi, kostüümi;women's suit;;8
naiste kleidid;women's dresses;;8
ringi vaatama, ringi vaada/ta, vaata/n ringi;to look around;;8
samas toonis;of the same colour;;8
toon, tooni, tooni;shade, colouring;;8
ühe/värviline, ühe/värvilise, ühe/värvilist;monochrome;;8
kortsuma, kortsu/da, kortsu/b;to crease, to wrinkle;;8
materjal, materjali, materjali;material;;8
Mis numbrit te kannate?;What number do you wear?;;8
paras, paraja, parajat;fit, suitable, of the right size;;8
üli/kond, üli/konna, üli/konda;suit;;8
kampsun, kampsuni, kampsunit;sweater;;8
Kas teil suuremat ei ole?;Don't you have a bigger one?;;8
Kas teil tšekk on alles?;Do you have the receit?;;8
kitsas, kitsa, kitsast;tight, close-fitting, narrow;;8
lai, laia, laia;wide, loose-fitting;;8
natuke(ne), natukese, natukest;a little;;8
ostsin;I bought;;8
pintsak, pintsaku, pintsakut;blazer;;8
tooma, tuu/a, too/n;to bring;;8
vahetama, vaheta/da, vaheta/n;to change, to exchange, to switch;;8
veel laiemat;more wider;;8
Kas teil lühemat ei ole?;Don't you have anything shorter?;;8
Kuidas sobib?;How does it fit?;;8
lühike(ne), lühikese, lühikest;short;;8
mood, moe, moodi;fashion;;8
mudel, mudeli, mudelit;version;;8
on moes;is fashionable, is in;;8
tagasi/hoidlik, tagasi/hoidliku,tagasi/hoidlikku;discreet;;8
tagasi/hoidlikumat;more discreet;;8
triibuline, triibulise, triibulist;stripy;;8
tume , tumeda, tumedat;dark;;8
tumedamat;more darker;;8
värv , värvi, värvi;colour;;8
esmas/päeva hommikuks;by Monday morning;;8
hinna/kiri, hinna/kirja, hinna/kirja;price list;;8
Kas te saaksite ...?;Could you…?;;8
katki;broken;;8
lukk, luku, lukku;zipper;;8
Lukk on katki.;The zipper is broken.;;8
Mis neil viga on?;What's the matter with them?;;8
püksid, pükste, pükse;trousers;;8
Saan ikka.;Yes, I can.;;8
valmis;ready;;8
eelmisel nädalal;last week;;8
homseks;by tomorrow;;8
Kas see on valmis?;Is it ready?;;8
kindlasti;for sure;;8
kolma/päevaks;by Wednesday;;8
mantel, mantli, mantlit;overcoat;;8
puhastus, puhastuse, puhastust;cleaners;;8
siin on kirjas;it's written here;;8
jõudma, jõud/a, jõua/n;to manage, to make;;8
käib küll;it's OK;;8
nii/kaua;in the meantime, so long, meanwhile;;8
poole tunni pärast;in half an hour;;8
seelik, seeliku, seelikut;skirt;;8
viie minuti pärast kolm;five minutes to three;;8
võiks veel lühem olla;could be even shorter;;8
kole, koleda, koledat;terrible, ugly, awful;;8
Mis plekk see on?;What kind of stain is it?;;8
Mis päevaks see valmis saab?;By what day will it be ready?;;8
Mis päevaks?;By what day?;;8
plekk, pleki, plekki;stain;;8
pluus, pluusi, pluusi;blouse;;8
probleem, probleemi, probleemi;problem;;8
puhastama, puhasta/da, puhasta/n;to clean;;8
raske, raske, rasket;difficult, hard;;8
reedeks;by Friday;;8
sulgema, sulge/da, sulge/n;to close;;8
tegelikult;actually, as a matter of fact;;8
Varem ei jõua.;Can't make it earlier.;;8
veini/plekk, veini/pleki,veini/plekki;wine stain;;8
veri, vere, verd;blood;;8
viis minutit kuus läbi;five minutes past six;;8
ilm, ilma, ilma;weather;;9
ilma/teadustaja, ilma/teadustaja, ilma/teadustajat;weather forecaster;;9
kraad, kraadi, kraadi;degree;;9
kuni;to, up to, until;;9
meeter, meetri, meetrit;meter;;9
meetrit sekundis;meters per second;;9
nõrgenema, nõrgene/da, nõrgene/b;to weaken;;9
pilves;cloudy;;9
pluss, plussi, plussi;plus;;9
puhuma, puhu/da, puhu/b;to blow;;9
põhja/tuul, põhja/tuule, põhja/tuult;northern wind;;9
sekund, sekundi, sekundit;second;;9
tuul, tuule, tuult;wind;;9
veidi;a little;;9
õhu/temperatuur, õhu/temperatuuri, õhu/temperatuuri;temperature;;9
Ettevaatust!;Warning! Be careful! Attention!;;9
kohati;in places;;9
libe, libeda, libedat;slippery;;9
lumi, lume, lund;snow;;9
lääne/tuul, lääne/tuule, lääne/tuult;western wind;;9
saar, saare, saart;island;;9
saartel;on the islands;;9
sadama, sada/da, saja/b;to rain, to fall;;9
sajab lund;it's snowing;;9
tuiskama, tuisa/ta, tuiska/b;to whirl, to have a blizzard;;9
kagu/tuul, kagu/tuule, kagu/tuult;southeastern wind;;9
langema, lange/da, lange/b;to fall;;9
lõuna/tuul, lõuna/tuule, lõuna/tuult;southern wind;;9
oht, ohu, ohtu;risk, danger;;9
päikese/paisteline, päikese/paistelise, päikese/paistelist;sunny;;9
püsima, püsi/da, püsi/b;to stay;;9
selge, selge, selget;clear, cloudless;;9
sooja on …;the (plus) temperature is…;;9
temperatuur, temperatuuri, temperatuuri;temperature;;9
öö/külm, öö/külma, öö/külma;night frost;;9
öö/külma oht;possibility of night frost;;9
esinema, esine/da, esine/n;to occur;;9
hoo/vihm, hoo/vihma, hoo/vihma;shower;;9
Lõuna-Eesti, Lõuna-Eesti, Lõuna-Eestit;southern Estonia;;9
mets, metsa, metsa;forest;;9
metsades;in forests;;9
Põhja-Eesti, Põhja-Eesti, Põhja-Eestit;northern Estonia;;9
päeval;during the day;;9
sadu, saju, sadu;rain, downfall;;9
tugev, tugeva, tugevat;heavy, strong;;9
tule/oht, tule/ohu, tule/ohtu;risk of fire;;9
tõusma, tõus/ta, tõuse/n;to rise;;9
Tähele/panu!;Attention!;;9
vahelduva pilvisusega;partly cloudy;;9
äike(ne), äik(e)se, äikest;thunderstorm;;9
elu, elu, elu;life;;9
emme, emme, emmet;mummy;;9
ennast pesema, ennast pes/ta, pese/n ennast;to wash oneself;;9
esimest korda;for the first time;;9
jõin;I drank;;9
järv, järve, järve;lake;;9
kaste, kastme, kastet;sauce, gravy;;9
kord, korra, korda;turn, time;;9
laager, laagri, laagrit;camp;;9
lahe, laheda, lahedat;cool, nice;;9
lõke, lõkke, lõket;bonfire;;9
lõket tegema, lõket teh/a, tee/n lõket;to build a bonfire, to have a bonfire;;9
nägime;we saw;;9
Oh, kui tore!;Oh, how great!;;9
oli;was;;9
pesin;I washed;;9
saun, sauna, sauna;sauna;;9
sõime;we ate;;9
sõite;you (plural) ate;;9
tee peal;on the road;;9
tegime;we did;;9
tegite;you(plural) did;;9
tulime;we came;;9
unine, unise, unist;sleepy;;9
äärest;from the lake;;9
haigeks jääma, haigeks jää/da, jää/n haigeks;to fall ill;;9
hästi ilus;very beautiful;;9
jäi haigeks;fell ill;;9
jälle;again;;9
kolleeg, kolleegi, kolleegi;colleague;;9
kurk, kurgu, kurku;throat;;9
külm, külma, külma;cold;;9
külma saama, külma saa/da, saa/n külma;to catch cold;;9
lõpuks;finally, eventually;;9
läksime;we went;;9
oli see vast alles reis;that was quite a trip;;9
olid;you were;;9
olime;we were;;9
Ossa!;Wow!;;9
pilte tegema, pilte teh/a, tee/n pilte;to take photos;;9
reis, reisi, reisi;trip;;9
sain külma;I caught cold;;9
see kaks nädalat;these two weeks;;9
Tahad juua?;Would you like to drink?;;9
tegin pilte;I took photographs;;9
tegin teed;I made tea;;9
troopiline, troopilise, troopilist;tropical;;9
tuuline, tuulise, tuulist;windy;;9
tõin;I brought;;9
täpsemalt;exactly;;9
valus;sore, painful;;9
õhtuti;in the evenings;;9
üldiselt;in general;;9
… on jalas;to have on (one's foot);;9
ise/asi;another thing;;9
Miks nii lühike?;Why so short?;;9
minu meelest;in my opinion, to my mind;;9
Mis sul seljas on?;What are you wearing?;;9
moes;fashionable;;9
muidu;otherwise;;9
muretsema, muretse/da, muretse/n;to worry;;9
retuusid;leggings;;9
dressi/püksid;sweatpants;;9
Hea mõte!;Good idea!;;9
igaks juhuks;just in case;;9
jalga panema, jalga pan/na, pane/n jalga;to put on (on the foot);;9
kaasa võtma, kaasa võt/ta, võta/n kaasa;to take with oneself;;9
kalale minema, kalale min/na, lähe/n kalale;to go fishing;;9
kindad;gloves;;9
kui;if, when, how, than, as;;9
kui külm hakkab;if it gets cold;;9
kummikud;wellingtons;;9
kätte panema, kätte pan/na, pane/n kätte;to put on (the hand);;9
Lähme kalale!;Let's go fishing!;;9
Mis ma selga pean panema?;What should I put on?;;9
mõte, mõtte, mõtet;idea, thought;;9
paat, paadi, paati;boat;;9
pähe panema, pähe pan/na, pane/n pähe;to put on (the head);;9
selga panema, selga pan/na, pane/n selga;to put on (the back);;9
teksad;jeans;;9
tossud;sneakers, running shoes;;9
tuule/kindel, tuule/kindla, tuule/kindlat;windproof;;9
Mis ma selga panen?;What shall I wear?;;9
Pane midagi ilusamat!;Put something nicer on!;;9
Pole vist vaja jah.;Probably don't need to.;;9
ehted;jewellery;;9
firma, firma, firmat;company, enterprise;;9
jõulu/pidu, jõulu/peo, jõulu/pidu;Christmas party;;9
kaela panema, kaela pan/na, pane/n kaela;to put on (the neck);;9
mingi, mingi, mingit;some, a kind of;;9
Mis sa ajad!;Come on!;;9
Mul pole midagi selga panna.;I don't have anything to wear.;;9
on aega;there's still time;;9
ongi väga ilus;it'll be really pretty;;9
See oleks küll tore!;That would be great!;;9
šoppama, šopa/ta, šoppa/n;to go shopping;;9
valima, vali/da, vali/n;to choose, to pick;;9
aken, akna, akent;window;;10
all;under;;10
Joonas, Joonase, Joonast;Joonas (male name);;10
kapp, kapi, kappi;cupboard;;10
keskel;in the middle of;;10
kohal;above;;10
laud, laua, lauda;table;;10
mööbel, mööbli, mööblit;furniture;;10
Pagan!;Damn!;;10
peal;on, on top of;;10
peegel, peegli, peeglit;mirror;;10
riiul, riiuli, riiulit;shelf;;10
taburet, tabureti, taburetti;stool;;10
toa/naaber, toa/naabri, toa/naabrit;room-mate;;10
tool, tooli, tooli;chair;;10
tuba, toa, tuba;room;;10
voodi, voodi, voodit;bed;;10
ääres;by, near;;10
ühiselamu, ühiselamu, ühiselamut;dormitory;;10
algus, alguse, algust;beginning;;10
alguses;in the beginning;;10
Isver!;Gosh!;;10
kardin, kardina, kardinat;curtain;;10
katkema, katke/da, katke/b;to be cut off;;10
kõne, kõne, kõnet;call, speech;;10
nagi, nagi, nagi;clothe's rack;;10
Ole tubli!;Take care!;;10
Ongi kõik.;That's it.;;10
paar;a couple;;10
pole vaja;don't need, no need;;10
riide/puu, riide/puu, riide/puud;coathanger;;10
sees;in, inside;;10
uks, ukse, ust;door;;10
Vahet pole!;Doesn't matter!;;10
